Designator,Mid X,Mid Y,Rotation,Layer
R32,218.1565,-192.76325,180.0,bottom
R33,211.044,-207.05,180.0,bottom
R34,218.1565,-202.92325,180.0,bottom
R35,211.044,-217.21,180.0,bottom
R36,218.1565,-213.08325,180.0,bottom
R37,211.044,-227.37,180.0,bottom
R38,218.1565,-223.24325,180.0,bottom
R39,297.7625,-221.01525,270.0,bottom
R4,231.9565,-197.62325,0.0,bottom
R40,302.1225,-221.01525,270.0,bottom
R41,300.0875,-220.14825,270.0,bottom
R42,307.9225,-221.01525,270.0,bottom
R43,312.2825,-221.01525,270.0,bottom
R44,310.2475,-220.14825,270.0,bottom
R45,318.0825,-221.01525,270.0,bottom
R46,322.4425,-221.01525,270.0,bottom
R47,320.4075,-220.14825,270.0,bottom
R48,328.2425,-221.01525,270.0,bottom
R49,332.6025,-221.01525,270.0,bottom
R5,231.295,-212.90575,0.0,bottom
R50,330.5675,-220.14825,270.0,bottom
R51,351.3215,-221.01525,270.0,bottom
R52,355.6815,-221.01525,270.0,bottom
R53,353.6465,-220.14825,270.0,bottom
R54,361.4815,-221.01525,270.0,bottom
R55,365.8415,-221.01525,270.0,bottom
R56,363.8065,-220.14825,270.0,bottom
R57,371.6415,-221.01525,270.0,bottom
R58,376.0015,-221.01525,270.0,bottom
R59,373.9665,-220.14825,270.0,bottom
R6,342.0,-195.39575,90.0,bottom
R60,381.8015,-221.01525,270.0,bottom
R61,386.1615,-221.01525,270.0,bottom
R62,384.1265,-220.14825,270.0,bottom
R63,400.9585,-222.860688,180.0,bottom
R64,400.9585,-218.500688,180.0,bottom
R65,400.0915,-220.535688,180.0,bottom
R66,400.9585,-212.700688,180.0,bottom
R67,400.9585,-208.340688,180.0,bottom
R68,400.0915,-210.375688,180.0,bottom
R69,400.9585,-202.540688,180.0,bottom
R7,367.25,-195.50075,90.0,bottom
R70,400.9585,-198.180688,180.0,bottom
R71,400.0915,-200.215688,180.0,bottom
R72,400.9585,-192.308188,180.0,bottom
R73,400.9585,-187.948188,180.0,bottom
R74,400.0915,-189.983188,180.0,bottom
R75,217.9465,-144.12325,90.0,bottom
R76,212.8665,-144.12325,90.0,bottom
R77,337.4565,-183.12325,90.0,top
R78,361.5115,-183.20325,90.0,top
R79,287.37,-174.12325,0.0,bottom
R8,328.9565,-187.477209,180.0,bottom
R80,287.41,-167.12325,0.0,top
R81,305.0,-174.12325,0.0,bottom
R82,300.9475,-174.12325,180.0,bottom
R83,315.53,-174.12325,0.0,bottom
R84,315.57,-167.17325,0.0,top
R85,333.0,-174.17325,0.0,bottom
R86,328.9475,-174.17325,180.0,bottom
R87,343.61,-174.12325,0.0,bottom
R88,343.65,-167.17325,0.0,top
R89,361.0,-174.17325,0.0,bottom
R9,310.225,-212.68773,180.0,bottom
R90,356.9475,-174.17325,180.0,bottom
R91,371.61,-174.12325,0.0,bottom
R92,371.65,-167.17325,0.0,top
R93,389.0,-174.17325,0.0,bottom
R94,384.9475,-174.17325,180.0,bottom
R95,400.9585,-169.927,180.0,bottom
R96,400.9585,-165.567,180.0,bottom
R97,400.0915,-167.602,180.0,bottom
R98,400.9585,-159.767,180.0,bottom
R99,400.9585,-155.407,180.0,bottom
RE1,297.48,-140.82325,180.0,top
RE2,325.64,-140.87325,180.0,top
RE3,353.72,-140.87325,180.0,top
RE4,381.72,-140.87325,180.0,top
RP?,250.95,-191.32,270.0,top
SW1,352.9015,-179.12325,0.0,top
SW2,342.9015,-179.12325,180.0,top
SW3,376.9565,-179.22825,0.0,top
SW4,366.9565,-179.22825,180.0,top
U1,302.8065,-188.07325,270.0,top
U2,294.4,-171.11825,0.0,top
U3,322.56,-171.16825,0.0,top
U4,350.64,-171.16825,0.0,top
U5,378.64,-171.16825,0.0,top
